File............:   - MAR,07.2019

System..........:  
Control.........:  
Temperature.....:  -0.1+-0.4C
Time............:  MAR,07.2019
Comment.........:  09:56:26 - 10:01:28
                   
                   
                   
                   
Electr.area/sqcm:  
                    
polarization data

Lines:   301
Columns: 3

Number     Time/s     Potential/V    Current/A 
231          230.0     1.1178e-01    0.0000e+00
232          231.0     1.0522e-01    0.0000e+00
233          232.0     1.0173e-01    0.0000e+00
234          233.0     1.0119e-01    0.0000e+00
235          234.0     1.0130e-01    0.0000e+00
236          235.0     1.0123e-01    0.0000e+00
237          236.0     1.0083e-01    0.0000e+00
238          237.0     1.0302e-01    0.0000e+00
239          238.0     1.0525e-01    0.0000e+00
240          239.0     1.0743e-01    0.0000e+00
241          240.0     1.1148e-01    0.0000e+00
242          241.0     1.0311e-01    0.0000e+00
243          242.0     1.0310e-01    0.0000e+00
244          243.0     1.0316e-01    0.0000e+00
245          244.0     1.0299e-01    0.0000e+00
246          245.0     1.0297e-01    0.0000e+00
247          246.0     1.0232e-01    0.0000e+00
248          247.0     1.0183e-01    0.0000e+00
249          248.0     1.0207e-01    0.0000e+00
250          249.0     1.0188e-01    0.0000e+00
251          250.0     1.0204e-01    0.0000e+00
252          251.0     1.0171e-01    0.0000e+00
253          252.0     1.0146e-01    0.0000e+00
254          253.0     1.0160e-01    0.0000e+00
255          254.0     1.0159e-01    0.0000e+00
256          255.0     1.0132e-01    0.0000e+00
257          256.0     1.0108e-01    0.0000e+00
258          257.0     1.0100e-01    0.0000e+00
259          258.0     1.0046e-01    0.0000e+00
260          259.0     1.0070e-01    0.0000e+00
261          260.0     1.0039e-01    0.0000e+00
262          261.0     1.0052e-01    0.0000e+00
263          262.0     1.0035e-01    0.0000e+00
264          263.0     1.0055e-01    0.0000e+00
265          264.0     1.0049e-01    0.0000e+00
266          265.0     9.9799e-02    0.0000e+00
267          266.0     1.0014e-01    0.0000e+00
268          267.0     9.9538e-02    0.0000e+00
269          268.0     9.9356e-02    0.0000e+00
270          269.0     9.9545e-02    0.0000e+00
271          270.0     9.9387e-02    0.0000e+00
272          271.0     9.8930e-02    0.0000e+00
273          272.0     9.9249e-02    0.0000e+00
274          273.0     9.8982e-02    0.0000e+00
275          274.0     9.8847e-02    0.0000e+00
276          275.0     9.8637e-02    0.0000e+00
277          276.0     9.8365e-02    0.0000e+00
278          277.0     9.8528e-02    0.0000e+00
279          278.0     9.8303e-02    0.0000e+00
280          279.0     9.8070e-02    0.0000e+00
281          280.0     9.8294e-02    0.0000e+00
282          281.0     9.7871e-02    0.0000e+00
283          282.0     9.8048e-02    0.0000e+00
284          283.0     9.7754e-02    0.0000e+00
285          284.0     9.7901e-02    0.0000e+00
286          285.0     9.7664e-02    0.0000e+00
287          286.0     9.8666e-02    0.0000e+00
288          287.0     1.0284e-01    0.0000e+00
289          288.0     1.0340e-01    0.0000e+00
290          289.0     1.0335e-01    0.0000e+00
291          290.0     1.0321e-01    0.0000e+00
292          291.0     1.0320e-01    0.0000e+00
293          292.0     1.0310e-01    0.0000e+00
294          293.0     1.0299e-01    0.0000e+00
295          294.0     1.0295e-01    0.0000e+00
296          295.0     1.0268e-01    0.0000e+00
297          296.0     1.0247e-01    0.0000e+00
298          297.0     1.0242e-01    0.0000e+00
299          298.0     1.0241e-01    0.0000e+00
300          299.0     1.0225e-01    0.0000e+00
301          300.0     1.0225e-01    0.0000e+00

