 PVI-Measurement from: Date 16:12:19  Time 09:59:11 
                   to:      16:12:19       11:51:19 
            Condition: stopped                      
 -------------------------------------------------- 
 System :
 Temp   :
 Comment:
        :
        :
        :
        :
        :
        :
 -------------------------------------------------- 
 S-FILE   : >unnamed<                               
 RunTime  :   1h  52min  8.0  sek                   
 PotRange :  7.33146e-01V   to   7.39589e-01V       
 CurRange :  5.29124e-03A   to   6.93181e-03A       

Lines:   3365
Columns: 4

 Index        Time/s        Potential/V      Current/A   
    181        359.00000     7.39403e-01     6.55866e-03 
    182        361.00000     7.39396e-01     6.58408e-03 
    183        363.00000     7.39450e-01     6.56901e-03 
    184        365.00000     7.39431e-01     6.57834e-03 
    185        367.00000     7.39417e-01     6.57492e-03 
    186        369.00000     7.39380e-01     6.59774e-03 
    187        371.00000     7.39339e-01     6.60366e-03 
    188        373.00000     7.39409e-01     6.62810e-03 
    189        375.00000     7.39423e-01     6.64711e-03 
    190        377.00000     7.39490e-01     6.66691e-03 
    191        379.00000     7.39408e-01     6.66934e-03 
    192        381.00000     7.39447e-01     6.66804e-03 
    193        383.00000     7.39444e-01     6.58809e-03 
    194        385.00000     7.39432e-01     6.52332e-03 
    195        387.00000     7.39379e-01     6.51614e-03 
    196        389.00000     7.39448e-01     6.53358e-03 
    197        391.00000     7.39539e-01     6.54968e-03 
    198        393.00000     7.39440e-01     6.57033e-03 
    199        395.00000     7.39479e-01     6.58373e-03 
    200        397.00000     7.39444e-01     6.59776e-03 
    201        399.00000     7.39462e-01     6.63699e-03 
    202        401.00000     7.39455e-01     6.64253e-03 
    203        403.00000     7.39356e-01     6.65955e-03 
    204        405.00000     7.39482e-01     6.68205e-03 
    205        407.00000     7.39475e-01     6.69076e-03 
    206        409.00000     7.39531e-01     6.61002e-03 
    207        411.00000     7.39376e-01     6.56670e-03 
    208        413.00000     7.39468e-01     6.55658e-03 
    209        415.00000     7.39410e-01     6.55270e-03 
    210        417.00000     7.39422e-01     6.56531e-03 
    211        419.00000     7.39425e-01     6.58350e-03 
    212        421.00000     7.39426e-01     6.59974e-03 
    213        423.00000     7.39399e-01     6.59815e-03 
    214        425.00000     7.39383e-01     6.62433e-03 
    215        427.00000     7.39371e-01     6.65015e-03 
    216        429.00000     7.39416e-01     6.64609e-03 
    217        431.00000     7.39482e-01     6.67459e-03 
    218        433.00000     7.39467e-01     6.67954e-03 
    219        435.00000     7.39490e-01     6.68767e-03 
    220        437.00000     7.39495e-01     6.56723e-03 
    221        439.00000     7.39471e-01     6.52590e-03 
    222        441.00000     7.39454e-01     6.52281e-03 
    223        443.00000     7.39470e-01     6.53252e-03 
    224        445.00000     7.39346e-01     6.55442e-03 
    225        447.00000     7.39455e-01     6.56180e-03 
    226        449.00000     7.39452e-01     6.57051e-03 
    227        451.00000     7.39472e-01     6.56612e-03 
    228        453.00000     7.39440e-01     6.59248e-03 
    229        455.00000     7.39421e-01     6.60577e-03 
    230        457.00000     7.39446e-01     6.62464e-03 
    231        459.00000     7.39430e-01     6.57068e-03 
    232        461.00000     7.39396e-01     6.49043e-03 
    233        463.00000     7.39395e-01     6.48273e-03 
    234        465.00000     7.39421e-01     6.49843e-03 
    235        467.00000     7.39433e-01     6.51501e-03 
    236        469.00000     7.39423e-01     6.51100e-03 
    237        471.00000     7.39425e-01     6.51171e-03 
    238        473.00000     7.39403e-01     6.53718e-03 
    239        475.00000     7.39382e-01     6.55283e-03 
    240        477.00000     7.39398e-01     6.56719e-03 
    241        479.00000     7.39479e-01     6.59461e-03 
    242        481.00000     7.39413e-01     6.61086e-03 
    243        483.00000     7.39479e-01     6.61578e-03 
    244        485.00000     7.39498e-01     6.62655e-03 
    245        487.00000     7.39464e-01     6.57607e-03 
    246        489.00000     7.39478e-01     6.50412e-03 
    247        491.00000     7.39450e-01     6.47758e-03 
    248        493.00000     7.39422e-01     6.46618e-03 
    249        495.00000     7.39429e-01     6.48363e-03 
    250        497.00000     7.39374e-01     6.45712e-03 
    251        499.00000     7.39416e-01     6.50205e-03 
    252        501.00000     7.39381e-01     6.51450e-03 
    253        503.00000     7.39539e-01     6.46495e-03 
    254        505.00000     7.39446e-01     6.47083e-03 
    255        507.00000     7.39461e-01     6.48765e-03 
    256        509.00000     7.39461e-01     6.48486e-03 
    257        511.00000     7.39518e-01     6.49133e-03 
    258        513.00000     7.39465e-01     6.50573e-03 
    259        515.00000     7.39413e-01     6.52050e-03 
    260        517.00000     7.39372e-01     6.52919e-03 
    261        519.00000     7.39450e-01     6.51998e-03 
    262        521.00000     7.39430e-01     6.35569e-03 
    263        523.00000     7.39424e-01     6.33770e-03 
    264        525.00000     7.39435e-01     6.35142e-03 
    265        527.00000     7.39521e-01     6.38597e-03 
    266        529.00000     7.39491e-01     6.40985e-03 
    267        531.00000     7.39403e-01     6.43969e-03 
    268        533.00000     7.39364e-01     6.45337e-03 
    269        535.00000     7.39455e-01     6.46783e-03 
    270        537.00000     7.39436e-01     6.48611e-03 
    271        539.00000     7.39500e-01     6.51394e-03 
    272        541.00000     7.39366e-01     6.50943e-03 
    273        543.00000     7.39481e-01     6.43220e-03 
    274        545.00000     7.39429e-01     6.41988e-03 
    275        547.00000     7.39427e-01     6.42841e-03 
    276        549.00000     7.39433e-01     6.41474e-03 
    277        551.00000     7.39340e-01     6.42830e-03 
    278        553.00000     7.39372e-01     6.45512e-03 
    279        555.00000     7.39438e-01     6.51733e-03 
    280        557.00000     7.39411e-01     6.52228e-03 
    281        559.00000     7.39371e-01     6.51347e-03 
    282        561.00000     7.39445e-01     6.53937e-03 
    283        563.00000     7.39351e-01     6.54626e-03 
    284        565.00000     7.39396e-01     6.55407e-03 
    285        567.00000     7.39367e-01     6.55532e-03 
    286        569.00000     7.39353e-01     6.54332e-03 
    287        571.00000     7.39380e-01     6.43005e-03 
    288        573.00000     7.39390e-01     6.40709e-03 
    289        575.00000     7.39487e-01     6.38931e-03 
    290        577.00000     7.39472e-01     6.40514e-03 
    291        579.00000     7.39476e-01     6.43527e-03 
    292        581.00000     7.39385e-01     6.44951e-03 
    293        583.00000     7.39499e-01     6.45415e-03 
    294        585.00000     7.39541e-01     6.47523e-03 
    295        587.00000     7.39419e-01     6.48166e-03 
    296        589.00000     7.39477e-01     6.49887e-03 
    297        591.00000     7.39460e-01     6.52651e-03 
    298        593.00000     7.39405e-01     6.53317e-03 
    299        595.00000     7.39465e-01     6.53994e-03 
    300        597.00000     7.39469e-01     6.50444e-03 
    301        599.00000     7.39480e-01     6.41340e-03 
    302        601.00000     7.39504e-01     6.40429e-03 
    303        603.00000     7.39376e-01     6.39501e-03 
    304        605.00000     7.39427e-01     6.40895e-03 
    305        607.00000     7.39435e-01     6.42520e-03 
    306        609.00000     7.39435e-01     6.43349e-03 
    307        611.00000     7.39457e-01     6.45383e-03 
    308        613.00000     7.39410e-01     6.47377e-03 
    309        615.00000     7.39479e-01     6.53169e-03 
    310        617.00000     7.39460e-01     6.61634e-03 
    311        619.00000     7.39415e-01     6.66761e-03 
    312        621.00000     7.39399e-01     6.63542e-03 
    313        623.00000     7.39471e-01     6.51433e-03 
    314        625.00000     7.39368e-01     6.49688e-03 
    315        627.00000     7.39452e-01     6.52372e-03 
    316        629.00000     7.39465e-01     6.52717e-03 
    317        631.00000     7.39432e-01     6.50362e-03 
    318        633.00000     7.39390e-01     6.49180e-03 
    319        635.00000     7.39381e-01     6.48903e-03 
    320        637.00000     7.39466e-01     6.48992e-03 
    321        639.00000     7.39426e-01     6.49682e-03 
    322        641.00000     7.39484e-01     6.50485e-03 
    323        643.00000     7.39428e-01     6.50855e-03 
    324        645.00000     7.39435e-01     6.52245e-03 
    325        647.00000     7.39471e-01     6.52299e-03 
    326        649.00000     7.39482e-01     6.49377e-03 
    327        651.00000     7.39416e-01     6.36944e-03 
    328        653.00000     7.39413e-01     6.34795e-03 
    329        655.00000     7.39413e-01     6.33951e-03 
    330        657.00000     7.39483e-01     6.34393e-03 
    331        659.00000     7.39370e-01     6.37518e-03 
